test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,SellSpot_t,BuySpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2019-11-30,1,4000,7713.1,3659.87,27,0.518598228987048,1,0,0.0156,0,2313.93,0.3,7194.4,3194.3999999999996,-0.12718211302587257,0.51,-0.481401771012952,1,3659.87,3194.3999999999996,7713.1,7194.4,"(-0.5,-0.1]",27,0.013132736114160921,3.160773391790439e-4,0.012816658774981877
2020-03-28,1,4500,6261.88,1866.04,27,0.718634500893198,0.998469051191115,1.11985,3e-4,0,125237.6,20,7477.6,2977.6000000000004,0.5956785492272407,0.71,-0.281365499106802,0,1866.04,2977.6000000000004,6261.88,7477.6,"(-0.5,-0.1]",27,-0.023322591286566097,3.160773391790439e-4,-0.02363866862574514
2020-03-28,1,5500,6195.08333333333,1045.63,27,0.887943761064743,0.996669381526067,1.0382,3e-4,0,18585.25,3,7477.6,1977.6000000000004,0.8912999818291367,0.88,-0.11205623893525696,0,1045.63,1977.6000000000004,6195.08333333333,7477.6,"(-0.5,-0.1]",27,-0.06751554966792193,3.160773391790439e-4,-0.06783162700710098
2020-05-30,1,8000,9646.26588235294,1873.70117647059,27,0.829375579277793,0.981224944937208,0.779611764705883,0.0014,0,55654.016,5.8,9240.85,1240.8500000000004,-0.3377545920436812,0.82,-0.17062442072220696,1,1873.70117647059,1240.8500000000004,9646.26588235294,9240.85,"(-0.5,-0.1]",27,-0.030962046555747528,3.160773391790439e-4,-0.03127812389492657
2020-07-04,1,7000,9148.73,2212.14142857143,27,0.765144311429379,0.967812590934497,0.6794,0.0014,0,12808.222,1.4,11114.93,4114.93,0.860156835748682,0.76,-0.234855688570621,1,2212.14142857143,4114.93,9148.73,11114.93,"(-0.5,-0.1]",27,-1.875078544694411e-5,3.160773391790439e-4,-3.3482812462598804e-4
2020-07-04,1,7500,9151.81,1747.16,27,0.819517766050472,0.953206344757601,0.61736,0.0014,0,9151.81,1,11114.93,3614.93,1.069032029121546,0.81,-0.180482233949528,1,1747.16,3614.93,9151.81,11114.93,"(-0.5,-0.1]",27,-5.00034092285442e-4,3.160773391790439e-4,-8.161114314644859e-4
2020-07-04,1,8000,9122.78333333333,1277.32666666667,27,0.876944019649452,0.935602406933573,0.562466666666667,0.0014,0,5473.67,0.6,11114.93,3114.9300000000003,1.4386322475586972,0.87,-0.123055980350548,1,1277.32666666667,3114.9300000000003,9122.78333333333,11114.93,"(-0.5,-0.1]",27,-0.003617248070792919,3.160773391790439e-4,-0.003933325409971962
2020-08-29,1,8000,11533.59,3633.08,27,0.693626182307504,0.985505121775525,0.8043,0.001,0,92268.72,8,10732.43,2732.4300000000003,-0.24790260605326597,0.69,-0.30637381769249605,1,3633.08,2732.4300000000003,11533.59,10732.43,"(-0.5,-0.1]",27,-0.01436673304437111,3.160773391790439e-4,-0.014682810383550154
2020-08-29,1,9000,11495.6666666667,2699.56666666667,27,0.782903703065854,0.985008076395646,0.816633333333333,0.001,0,57478.47,5,10732.43,1732.4300000000003,-0.35825626335090877,0.78,-0.217096296934146,1,2699.56666666667,1732.4300000000003,11495.6666666667,10732.43,"(-0.5,-0.1]",27,-0.02497082938845298,3.160773391790439e-4,-0.025286906727632025
2020-08-29,1,10000,11484.53,1745.65,27,0.870736547338028,0.952906882643092,0.6247,0.001,0,22969.06,2,10732.43,732.4300000000003,-0.5804256294217052,0.87,-0.12926345266197203,1,1745.65,732.4300000000003,11484.53,10732.43,"(-0.5,-0.1]",27,-0.032239347549012774,3.160773391790439e-4,-0.03255542488819182
