test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,BuyPremium_t,SellPremium_th,BuySpot_t,SellSpot_th,M_group,steps_ahead,R_t,RF_t,ER_t
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,0.996625993880593,0.972,0.0156,0,7468.44,1,7194.4,0,-1,0.6,-0.397464530745376,1,14.94,0,7468.44,7194.4,"(-0.5,-0.1]",27,-0.03862273796471475,3.747968745786423e-4,-0.03899753483929339
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,0.996625993880593,0.972,0.0156,0,3734.22,0.5,7194.4,0,-1,0.6,-0.397464530745376,1,14.94,0,7468.44,7194.4,"(-0.5,-0.1]",27,-0.03862273796471475,3.747968745786423e-4,-0.03899753483929339
2019-11-30,-1,5000,7692.19,30.77,27,0.650009945152161,0.995989175561274,0.9543,0.0156,0,7692.19,1,7194.4,0,-1,0.65,-0.34999005484783896,1,30.77,0,7692.19,7194.4,"(-0.5,-0.1]",27,-0.0684550260241896,3.747968745786423e-4,-0.06882982289876824
2019-11-30,-1,5000,7731.28,30.93,27,0.646723440361751,0.99606948683687,0.9567,0.0156,0,773.128,0.1,7194.4,0,-1,0.64,-0.353276559638249,1,30.93,0,7731.28,7194.4,"(-0.5,-0.1]",27,-0.07316513217920383,3.747968745786423e-4,-0.07353992905378247
2019-11-30,-1,5000,7731.28,30.93,27,0.646723440361751,0.99606948683687,0.9567,0.0156,0,22420.712,2.9,7194.4,0,-1,0.64,-0.353276559638249,1,30.93,0,7731.28,7194.4,"(-0.5,-0.1]",27,-0.07316513217920383,3.747968745786423e-4,-0.07353992905378247
2019-11-30,-1,5000,7733.86,30.94,27,0.646507694734583,0.996098374036963,0.9577,0.0156,0,46403.16,6,7194.4,0,-1,0.64,-0.353492305265417,1,30.94,0,7733.86,7194.4,"(-0.5,-0.1]",27,-0.07347417639470467,3.747968745786423e-4,-0.07384897326928332
2019-11-30,-1,5500,7536.39,37.68,27,0.729792380702166,0.985770181996322,0.7727,0.0156,0,1507.278,0.2,7194.4,0,-1,0.72,-0.270207619297834,1,37.68,0,7536.39,7194.4,"(-0.5,-0.1]",27,-0.050195815055609806,3.747968745786423e-4,-0.05057061193018845
2019-11-30,-1,6000,7744.07,61.95,27,0.77478638493712,0.98119797057237,0.7318,0.0156,0,774.407,0.1,7194.4,0,-1,0.77,-0.22521361506287996,1,61.95,0,7744.07,7194.4,"(-0.5,-0.1]",27,-0.07849248744416717,3.747968745786423e-4,-0.07886728431874582
2019-11-30,-1,6000,7798.24,62.39,27,0.769404378423849,0.983200337901222,0.7504,0.0156,0,4678.944,0.6,7194.4,0,-1,0.76,-0.230595621576151,1,62.39,0,7798.24,7194.4,"(-0.5,-0.1]",27,-0.08487939964008599,3.747968745786423e-4,-0.08525419651466463
2019-11-30,-1,6000,7765.72,62.13,27,0.772626363041675,0.981975446119993,0.7388,0.0156,0,185600.708,23.9,7194.4,0,-1,0.77,-0.22737363695832505,1,62.13,0,7765.72,7194.4,"(-0.5,-0.1]",27,-0.081056481995805,3.747968745786423e-4,-0.08143127887038364
2019-11-30,-1,6000,7510.12,71.35,27,0.798921987930952,0.977131580876854,0.7007,0.0156,0,6759.108,0.9,7194.4,0,-1,0.79,-0.20107801206904796,1,71.35,0,7510.12,7194.4,"(-0.5,-0.1]",27,-0.05126370557134167,3.747968745786423e-4,-0.05163850244592031
2019-11-30,-1,6000,7764.02,58.23,27,0.772795536332982,0.979896743981707,0.7198,0.0156,0,58230.15,7.5,7194.4,0,-1,0.77,-0.22720446366701796,1,58.23,0,7764.02,7194.4,"(-0.5,-0.1]",27,-0.08040507198424082,3.747968745786423e-4,-0.08077986885881946
2019-11-30,-1,6000,7590.92,72.11,27,0.79041802574655,0.979981418563253,0.7231,0.0156,0,8350.012,1.1,7194.4,0,-1,0.79,-0.20958197425345004,1,72.11,0,7590.92,7194.4,"(-0.5,-0.1]",27,-0.06133509584741661,3.747968745786423e-4,-0.06170989272199525
2019-11-30,-1,6000,7595.2,68.36,27,0.789972614282705,0.978821042622106,0.7131,0.0156,0,6835.68,0.9,7194.4,0,-1,0.78,-0.21002738571729496,1,68.36,0,7595.2,7194.4,"(-0.5,-0.1]",27,-0.06140074595682366,3.747968745786423e-4,-0.061775542831402304
2019-11-30,-1,6500,7588.15,140.38,27,0.856598775722673,0.97346939376914,0.682,0.0156,0,7588.15,1,7194.4,0,-1,0.85,-0.14340122427732704,1,140.38,0,7588.15,7194.4,"(-0.5,-0.1]",27,-0.06957205258461445,3.747968745786423e-4,-0.06994684945919309
2019-11-30,-1,6500,7669.1,130.37,27,0.847557079709483,0.974095767508136,0.6851,0.0156,0,766.91,0.1,7194.4,0,-1,0.84,-0.15244292029051698,1,130.37,0,7669.1,7194.4,"(-0.5,-0.1]",27,-0.07798819184589459,3.747968745786423e-4,-0.07836298872047323
2019-11-30,-1,6500,7755.26,124.08,27,0.838140823131655,0.975200447337747,0.6917,0.0156,0,11632.89,1.5,7194.4,0,-1,0.83,-0.16185917686834494,1,124.08,0,7755.26,7194.4,"(-0.5,-0.1]",27,-0.08729410514089425,3.747968745786423e-4,-0.0876689020154729
2019-11-30,-1,6500,7548.11,135.87,27,0.861142723145264,0.97045187936798,0.6627,0.0156,0,7548.11,1,7194.4,0,-1,0.86,-0.13885727685473603,1,135.87,0,7548.11,7194.4,"(-0.5,-0.1]",27,-0.06421818837249461,3.747968745786423e-4,-0.06459298524707326
2019-11-30,-1,6500,7473.05,153.2,27,0.869792119683396,0.97126011236738,0.6691,0.0156,0,7473.05,1,7194.4,0,-1,0.86,-0.13020788031660402,1,153.2,0,7473.05,7194.4,"(-0.5,-0.1]",27,-0.0571872142082483,3.747968745786423e-4,-0.05756201108282694
2019-11-30,-1,6500,7507.91,146.4,27,0.865753585218789,0.971162341091647,0.6679,0.0156,0,187697.75,25,7194.4,0,-1,0.86,-0.13424641478121102,1,146.4,0,7507.91,7194.4,"(-0.5,-0.1]",27,-0.060618615552465935,3.747968745786423e-4,-0.06099341242704458
