Date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019-11-30,1,4000,7713.1,3659.87,27,0.518598228987048,1,0,0.0156,0,2313.93,0.3,7194.4,3194.3999999999996,-0.12718211302587257,0.51,-0.481401771012952,1
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,0.00337400611940741,0.972,0.0156,0,11202.66,1.5,7194.4,0,-1,0.6,-0.397464530745376,1
2019-11-30,-1,5000,7722.1525,30.8925,27,0.647491130152562,0.00394336918200594,0.95635,0.0156,0,77289.19,10,7194.4,0,-1,0.64,-0.352508869847438,1
2019-11-30,-1,5500,7536.39,37.68,27,0.729792380702166,0.0142298180036778,0.7727,0.0156,0,1507.278,0.2,7194.4,0,-1,0.72,-0.270207619297834,1
2019-11-30,-1,6000,7681.18428571428,65.2171428571429,27,0.781275041527976,0.0196850656232135,0.725385714285714,0.0156,0,271229.009,35,7194.4,0,-1,0.78,-0.218724958472024,1
2019-11-30,-1,6500,7580,138.7,27,0.857628670746913,0.0277208624739945,0.6743375,0.0156,0,268074.04,35.6,7194.4,0,-1,0.85,-0.14237132925308704,1
2019-11-30,1,7000,7669.79,914.84,27,0.912698850618493,0.96374598726845,0.63195,0.0156,0,9245.608,1.2,7194.4,194.39999999999964,-0.7875038258056057,0.91,-0.08730114938150701,1
2019-11-30,-1,7000,7619.3,243.511428571429,27,0.918839910854332,0.0361937745711397,0.632442857142857,0.0156,0,229919.519,30.4,7194.4,0,-1,0.91,-0.08116008914566797,1
2019-11-30,1,7500,7538.114,518.814,27,0.994992573403678,0.9559716291704,0.60446,0.0156,0,35444.275,4.7,7194.4,0,-1,0.99,-0.005007426596322029,1
2019-11-30,-1,7500,7650.70428571429,423.595714285714,27,0.980415865225511,0.0411864459232486,0.615842857142857,0.0156,0,62127.151,8.1,7194.4,305.60000000000036,-0.2785573845681685,0.98,-0.019584134774488948,1
2019-11-30,1,8000,7612.94666666667,350.817777777778,27,1.05091564642252,0.955627884018833,0.6102,0.0156,0,88860.223,11.6,7194.4,0,-1,1.05,0.05091564642252,1
2019-11-30,-1,8000,7732.585,650.49,27,1.03458510676197,0.0440457059143611,0.609525,0.0156,0,40993.015,5.3,7194.4,805.6000000000004,0.23845101385109735,1.03,0.03458510676197002,1
2019-11-30,1,8500,7569.2375,200.835,27,1.12317332689264,0.955918884662368,0.620225,0.0156,0,54360.382,7.2,7194.4,0,-1,1.12,0.12317332689264004,1
2019-11-30,1,9000,7623.84,131.417777777778,27,1.18063255831895,0.958370613626645,0.6371,0.0156,0,113510.408,14.9,7194.4,0,-1,1.18,0.1806325583189501,1
2019-11-30,1,9500,7663.28428571429,82.73,27,1.23978004010356,0.959479616539545,0.648071428571429,0.0156,0,527801.836,69.1,7194.4,0,-1,1.23,0.2397800401035599,1
2019-11-30,1,10000,7670.17818181818,62.8381818181818,27,1.30392163187177,0.968321670909306,0.698227272727273,0.0156,0,241700.512,31.6,7194.4,0,-1,1.3,0.3039216318717699,1
2019-11-30,-1,10000,7748.535,2297.44,27,1.29056742668759,0.0336925308227418,0.6862,0.0156,0,15497.07,2,7194.4,2805.6000000000004,0.22118531931192997,1.29,0.29056742668758995,1
2019-11-30,1,11000,7596.8,26.59,27,1.44797809604044,0.976016046930776,0.7562,0.0156,0,122308.48,16.1,7194.4,0,-1,1.44,0.44797809604044003,1
2019-11-30,1,12000,7709.005,21.225,27,1.55665208977722,0.983888929574812,0.82845,0.0156,0,8510.852,1.1,7194.4,0,-1,1.55,0.55665208977722,1
2019-11-30,1,13000,7676.66666666667,11.5166666666667,27,1.69344669428872,0.988182869108129,0.879933333333333,0.0156,0,76674.784,10,7194.4,0,-1,1.69,0.6934466942887201,1
2019-11-30,1,14000,7575.9325,8.51,27,1.84821175710141,0.992941256849599,0.9631,0.0156,0,339577.63,45,7194.4,0,-1,1.84,0.8482117571014101,1
