Date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019-11-30,1,4000,7713.1,3659.87,27,0.518598228987048,1,0,0.0156,0,2313.93,0.3,7194.4,3194.3999999999996,-0.12718211302587257,0.51,-0.481401771012952,1
2019-11-30,-1,4500,7468.44,14.94,27,0.602535469254624,0.00337400611940741,0.972,0.0156,0,11202.66,1.5,7194.4,0,-1,0.6,-0.397464530745376,1
2019-11-30,-1,5000,7728.93856578003,30.9200798701604,27,0.646920998913302,0.00392116272515997,0.957061524088944,0.0156,0,77289.19,10,7194.4,0,-1,0.64,-0.353079001086698,1
2019-11-30,-1,5500,7536.39,37.68,27,0.729792380702166,0.0142298180036778,0.7727,0.0156,0,1507.278,0.2,7194.4,0,-1,0.72,-0.270207619297834,1
2019-11-30,-1,6000,7749.80566922991,61.9907004794978,27,0.774253464901315,0.0187135173345726,0.732820506383961,0.0156,0,271229.009,35,7194.4,0,-1,0.77,-0.22574653509868503,1
2019-11-30,-1,6500,7530.55804760282,143.577041480033,27,0.863194362273945,0.0286078526351703,0.669109812964359,0.0156,0,268074.04,35.6,7194.4,0,-1,0.86,-0.13680563772605503,1
2019-11-30,1,7000,7704.74282526795,952.631802953359,27,0.908539492481187,0.966977032935516,0.648691618409519,0.0156,0,9245.608,1.2,7194.4,194.39999999999964,-0.795933749642497,0.9,-0.09146050751881296,1
2019-11-30,-1,7000,7563.44544399978,261.740120555837,27,0.925541254285592,0.0352886831484132,0.638208509465001,0.0156,0,229919.519,30.4,7194.4,0,-1,0.92,-0.07445874571440803,1
2019-11-30,1,7500,7541.70539548488,521.553583588605,27,0.994518860944399,0.956203959361513,0.605426231584649,0.0156,0,35444.275,4.7,7194.4,0,-1,0.99,-0.005481139055600992,1
2019-11-30,-1,7500,7670.73124130881,417.586159385934,27,0.977833346969347,0.040529678356289,0.618534719877948,0.0156,0,62127.151,8.1,7194.4,305.60000000000036,-0.26817497866933804,0.97,-0.022166653030653016,1
2019-11-30,1,8000,7661.40244395054,369.522808902584,27,1.04433678947666,0.95472244312444,0.605323595326786,0.0156,0,88860.223,11.6,7194.4,0,-1,1.04,0.04433678947665998,1
2019-11-30,-1,8000,7734.54695411035,651.575030215514,27,1.03432255470841,0.0435828063012611,0.611565080953426,0.0156,0,40993.015,5.3,7194.4,805.6000000000004,0.23638869300062249,1.03,0.03432255470841006,1
2019-11-30,1,8500,7550.36948674165,190.078379468709,27,1.12581990317875,0.954657950100695,0.614974640472541,0.0156,0,54360.382,7.2,7194.4,0,-1,1.12,0.12581990317874991,1
2019-11-30,1,9000,7619.07013134373,130.392136103325,27,1.1813894634226,0.958213088281231,0.636447536130784,0.0156,0,113510.408,14.9,7194.4,0,-1,1.18,0.1813894634226001,1
2019-11-30,1,9500,7638.82547733627,78.1291399652501,27,1.24374330520517,0.95880482580006,0.645316433372543,0.0156,0,527801.836,69.1,7194.4,0,-1,1.24,0.24374330520517007,1
2019-11-30,1,10000,7649.86826974492,60.2710105477145,27,1.30740310554245,0.96795502796383,0.696424664178618,0.0156,0,241700.512,31.6,7194.4,0,-1,1.3,0.30740310554245,1
2019-11-30,-1,10000,7748.54032753933,2297.43836649767,27,1.29056653935228,0.0336914170110064,0.686205804323011,0.0156,0,15497.07,2,7194.4,2805.6000000000004,0.22118618758726383,1.29,0.29056653935228005,1
2019-11-30,1,11000,7596.8,26.59,27,1.44797809604044,0.976016046930777,0.7562,0.0156,0,122308.48,16.1,7194.4,0,-1,1.44,0.44797809604044003,1
2019-11-30,1,12000,7737.18869821024,26.040449381566,27,1.5509610553679,0.986286247286429,0.851195314100163,0.0156,0,8510.852,1.1,7194.4,0,-1,1.55,0.5509610553679001,1
2019-11-30,1,13000,7667.48376760944,11.50360682855,27,1.69547266021643,0.988302973817473,0.881519056465813,0.0156,0,76674.784,10,7194.4,0,-1,1.69,0.6954726602164301,1
