test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,Tau_th,Premium_th,Delta_th,option_return,M_floor,Return_t,Cluster
2017-11-12,-1,7000,6054.17959077712,1055.9380782434,5,1.15826309589437,0.375962641563595,1.04497731333687,0.0121,0,116035.813,19.2,7868.77,0,1.39517768067578,0,0,1.15,0.1469215518722166,1
2017-11-12,-1,7500,6192.23838123031,1247.08440696754,5,1.21188617965001,0.806036485736471,0.27819068793123,0.0121,0,15471.75,2.5,7868.77,0,34.6439370077242,0,0,1.21,0.19217797205733203,1
2017-11-12,-1,7750,6091.07373304611,1676.35105238536,5,1.27317578552047,0.674630984908291,0.514894597704959,0.0121,0,10348.139,1.7,7868.77,0,3.12,0,0,1.27,0.2415143976465078,1
2019-05-19,-1,7000,7939.97243777511,80.8998506637776,5,0.881984186023545,0.0937141125384454,1.09118504255874,0.0234,0,900016.137,113.4,7880.29,0,3.95,0,0,0.88,-0.12558115281460477,1
2019-05-19,-1,7250,7969.77215656658,116.973058551452,5,0.909899343654172,0.10175631846137,1.05877830380022,0.0234,0,294016.038,36.9,7880.29,0,7.87,0,0,0.9,-0.09442129695817168,1
2019-05-19,-1,7500,7951.15093801805,188.763498476297,5,0.943333805062648,0.10845958630157,1.04087304602946,0.0234,0,453975.038,57.1,7880.29,0,4.35095770122621,0,0,0.94,-0.058335076946677195,1
2019-05-19,-1,7750,8000.39850743979,269.817678665879,5,0.968829110221514,0.106930955697157,1.06156135911118,0.0234,0,298375.634,37.3,7880.29,0,12.5923388038794,0,0,0.96,-0.03166703948460986,1
2019-05-19,-1,8000,8015.72815016259,405.376881796842,5,0.99809969507819,0.10096402852133,1.10085323287748,0.0234,0,254884.358,31.8,7880.29,0,144.232544188175,1,-0.7046945561636796,0.99,-0.001902112791907323,1
2019-05-26,-1,7500,8095.26013286722,115.744993776117,5,0.927220632458567,0.136926736607177,0.900589275569045,0.023,0,145596.415,18,8272.46,0,4.13154895155647,0,0,0.92,-0.07556373476827631,1
2019-05-26,-1,7750,8402.73903995343,90.7614145451268,5,0.923742667267882,0.155138366894026,0.818199230886671,0.023,0,541979.945,64.6,8272.46,0,4.16198373729428,0,0,0.92,-0.07932174475623083,1
2019-05-26,-1,8000,8501.89581867189,123.818806909542,5,0.941908770530193,0.159001320722687,0.809219025637439,0.023,0,234417.607,27.6,8272.46,0,24.5049042369076,0,0,0.94,-0.05984685566662638,1
2019-05-26,-1,8250,8528.62767010344,192.32284331335,5,0.967581482612679,0.157237540141051,0.830699156618933,0.023,0,214865.625,25.2,8272.46,0,16.5441652976453,0.0105029086517313,0,0.96,-0.03295563786977768,1
2019-05-26,-1,8750,8618.9203519421,405.146390816539,5,1.01530741274782,0.152969883529391,0.87120853532971,0.023,0,17236.159,2,8272.46,0,510.445018000729,1,0.17868506501454587,1.01,0.015191436340266838,1
2019-06-16,-1,8750,9065.14215697612,201.396662089421,5,0.965461636762885,0.165461753437834,0.798389976859939,0.0215,0,484871.674,53.5,9531.35,0,9.67481111565095,0,0,0.96,-0.03514891196524977,1
2019-06-16,-1,9000,9091.40807465572,284.386569376528,5,0.990317629292727,0.172009028695724,0.787446825797529,0.0215,0,465305.258,51.2,9531.35,0,4.88,0,0,0.99,-0.009729549641479226,1
2019-06-16,-1,9250,9232.74962968043,325.980802032572,5,1.00206816409457,0.18843132707421,0.733335622916202,0.0215,0,26769.636,2.9,9531.35,0,6.68615718401951,0,0,1,0.0020660283873638855,1
2019-06-16,-1,9500,9097.762704239,537.255449522267,5,1.04421301898055,0.203894885567966,0.703895195621946,0.0215,0,33661.714,3.7,9531.35,0,12.0108400756963,0,0,1.04,0.04326350981598807,1
2019-06-16,-1,10000,9170.83478557939,902.054092752189,5,1.09081723261582,0.316200108228192,0.624114305227885,0.0215,0,104508.8,11.4,9531.35,0,295.082442536191,1,-0.48046352899953365,1.09,0.08692717000882322,1
2019-06-16,-1,10500,8982.10779566108,1598.8063218192,5,1.16899122737028,0.0898625204564665,1.21596729797141,0.0215,0,26946.31,3,9531.35,0,792.03725639712,1,-0.3941417501415542,1.16,0.15614117807364675,1
2019-08-25,-1,8500,10274.1148931901,33.3165330620379,5,0.827354675978047,0.0897515365129396,1.09735388881268,0.0193,0,105819.188,10.3,9484.55,0,4.73,0,0,0.82,-0.18952180530701018,1
2019-08-25,-1,9000,10068.1905719931,75.4658734277564,5,0.893937747163365,0.125385166451988,0.938832303318742,0.0193,0,771194.641,76.6,9484.55,0,14.0117806652033,0,0,0.89,-0.11211914027863858,1
2019-08-25,-1,9500,10133.1244422252,164.213842637217,5,0.937570158686632,0.140747583096357,0.892177923065341,0.0193,0,385037.852,38,9484.55,0,64.5943831100806,0.998502702470105,-0.9059153616292078,0.93,-0.06446368800523244,1
2019-08-25,-1,10000,10198.6469846069,336.410495710523,5,0.980620469113725,0.137047739487873,0.930609231365353,0.0193,0,2623848.962,257.3,9484.55,0,529.125766502424,1,0.5322054649672375,0.98,-0.01956977591216802,1
