test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster
2019/11/30,1,4000,7713.1,3659.87,27,0.518598229,1,0,0.0156,0,2313.93,0.3,7194.4,3194.4,-0.127182113,0.51,-0.481401771,1
2019/11/30,1,7000,7711.65,960.1,27,0.907717544,0.967615533,0.652,0.0156,0,8482.815,1.1,7194.4,194.4,-0.797521092,0.9,-0.092282456,1
2019/11/30,1,7000,7627.93,869.58,27,0.917680157,0.959876441,0.6119,0.0156,0,762.793,0.1,7194.4,194.4,-0.7764438,0.91,-0.082319843,1
2019/11/30,1,7500,7607.52,562.96,27,0.985866616,0.958188163,0.6133,0.0156,0,7607.52,1,7194.4,0,-1,0.98,-0.014133384,1
2019/11/30,1,7500,7591.36,546.58,27,0.987965266,0.955652945,0.6019,0.0156,0,7591.36,1,7194.4,0,-1,0.98,-0.012034734,1
2019/11/30,1,7500,7525.82,511.76,27,0.996569145,0.955637745,0.603,0.0156,0,7525.82,1,7194.4,0,-1,0.99,-0.003430855,1
2019/11/30,1,7500,7478.22,493.56,27,1.002912458,0.957984155,0.6146,0.0156,0,7478.22,1,7194.4,0,-1,1,0.002912458,1
2019/11/30,1,7500,7487.65,479.21,27,1.001649383,0.952395139,0.5895,0.0156,0,5241.355,0.7,7194.4,0,-1,1,0.001649383,1
2019/11/30,1,8000,7648.38,374.77,27,1.045973134,0.958271569,0.6214,0.0156,0,764.838,0.1,7194.4,0,-1,1.04,0.045973134,1
2019/11/30,1,8000,7673.87,376.02,27,1.042498765,0.955908488,0.6102,0.0156,0,7673.87,1,7194.4,0,-1,1.04,0.042498765,1
2019/11/30,1,8000,7758.63,407.33,27,1.031109874,0.953037301,0.5962,0.0156,0,38017.287,4.9,7194.4,0,-1,1.03,0.031109874,1
2019/11/30,1,8000,7543.92,313.07,27,1.060456633,0.952973652,0.5997,0.0156,0,7543.92,1,7194.4,0,-1,1.06,0.060456633,1
2019/11/30,1,8000,7583.43,341.25,27,1.054931607,0.95676633,0.6156,0.0156,0,7583.43,1,7194.4,0,-1,1.05,0.054931607,1
2019/11/30,1,8000,7564.82,340.42,27,1.057526815,0.958312951,0.623,0.0156,0,7564.82,1,7194.4,0,-1,1.05,0.057526815,1
2019/11/30,1,8000,7579.51,322.13,27,1.055477201,0.95154991,0.5931,0.0156,0,3789.755,0.5,7194.4,0,-1,1.05,0.055477201,1
2019/11/30,1,8000,7580.53,341.12,27,1.055335181,0.957064424,0.617,0.0156,0,7580.53,1,7194.4,0,-1,1.05,0.055335181,1
2019/11/30,1,8000,7583.43,341.25,27,1.054931607,0.95676633,0.6156,0.0156,0,8341.773,1.1,7194.4,0,-1,1.05,0.054931607,1
2019/11/30,1,8500,7738.16,239.88,27,1.098452345,0.952336842,0.6017,0.0156,0,1547.632,0.2,7194.4,0,-1,1.09,0.098452345,1
2019/11/30,1,8500,7568.49,189.21,27,1.123077391,0.952960345,0.6072,0.0156,0,37842.45,5,7194.4,0,-1,1.12,0.123077391,1
2019/11/30,1,8500,7484.98,187.12,27,1.135607577,0.95933929,0.6367,0.0156,0,7484.98,1,7194.4,0,-1,1.13,0.135607577,1
2019/11/30,1,8500,7485.32,187.13,27,1.135555995,0.959039061,0.6353,0.0156,0,7485.32,1,7194.4,0,-1,1.13,0.135555995,1
2019/11/30,1,9000,7705.62,150.26,27,1.167978696,0.959115049,0.6391,0.0156,0,15411.24,2,7194.4,0,-1,1.16,0.167978696,1
2019/11/30,1,9000,7622.28,133.39,27,1.180749067,0.95965113,0.6429,0.0156,0,5335.596,0.7,7194.4,0,-1,1.18,0.180749067,1
2019/11/30,1,9000,7538.92,113.08,27,1.193804948,0.957600569,0.6349,0.0156,0,15077.84,2,7194.4,0,-1,1.19,0.193804948,1
2019/11/30,1,9000,7683.09,142.14,27,1.171403693,0.958271338,0.6356,0.0156,0,7683.09,1,7194.4,0,-1,1.17,0.171403693,1
2019/11/30,1,9000,7701.15,146.32,27,1.168656629,0.958356711,0.6357,0.0156,0,15402.3,2,7194.4,0,-1,1.16,0.168656629,1
2019/11/30,1,9000,7505.43,112.58,27,1.199131829,0.959226413,0.6428,0.0156,0,22516.29,3,7194.4,0,-1,1.19,0.199131829,1
2019/11/30,1,9000,7675.59,134.32,27,1.172548299,0.955761935,0.6246,0.0156,0,15351.18,2,7194.4,0,-1,1.17,0.172548299,1
2019/11/30,1,9000,7671.6,134.25,27,1.173158142,0.956206896,0.6266,0.0156,0,9973.08,1.3,7194.4,0,-1,1.17,0.173158142,1
2019/11/30,1,9000,7510.88,116.42,27,1.198261722,0.961145481,0.6517,0.0156,0,6759.792,0.9,7194.4,0,-1,1.19,0.198261722,1
2019/11/30,1,9500,7740.58,96.76,27,1.227298213,0.960482744,0.6514,0.0156,0,38702.9,5,7194.4,0,-1,1.22,0.227298213,1
2019/11/30,1,9500,7579.36,72,27,1.253403981,0.959514434,0.6494,0.0156,0,227380.8,30,7194.4,0,-1,1.25,0.253403981,1
2019/11/30,1,9500,7727.38,92.73,27,1.229394698,0.960268553,0.6506,0.0156,0,38636.9,5,7194.4,0,-1,1.22,0.229394698,1
