test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,M_group,steps_ahead,R_t,RF_t,ER_t
2019/11/30,-1,4500,7468.44,14.94,27,0.602535469,0.996625994,0.972,0.0156,0,7468.44,1,7194.4,0,-1,0.6,-0.397464531,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,4500,7468.44,14.94,27,0.602535469,0.996625994,0.972,0.0156,0,3734.22,0.5,7194.4,0,-1,0.6,-0.397464531,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,5000,7692.19,30.77,27,0.650009945,0.995989176,0.9543,0.0156,0,7692.19,1,7194.4,0,-1,0.65,-0.349990055,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,5000,7731.28,30.93,27,0.64672344,0.996069487,0.9567,0.0156,0,773.128,0.1,7194.4,0,-1,0.64,-0.35327656,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,5000,7731.28,30.93,27,0.64672344,0.996069487,0.9567,0.0156,0,22420.712,2.9,7194.4,0,-1,0.64,-0.35327656,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,5000,7733.86,30.94,27,0.646507695,0.996098374,0.9577,0.0156,0,46403.16,6,7194.4,0,-1,0.64,-0.353492305,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,5500,7536.39,37.68,27,0.729792381,0.985770182,0.7727,0.0156,0,1507.278,0.2,7194.4,0,-1,0.72,-0.270207619,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6000,7744.07,61.95,27,0.774786385,0.981197971,0.7318,0.0156,0,774.407,0.1,7194.4,0,-1,0.77,-0.225213615,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6000,7798.24,62.39,27,0.769404378,0.983200338,0.7504,0.0156,0,4678.944,0.6,7194.4,0,-1,0.76,-0.230595622,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6000,7765.72,62.13,27,0.772626363,0.981975446,0.7388,0.0156,0,185600.708,23.9,7194.4,0,-1,0.77,-0.227373637,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6000,7510.12,71.35,27,0.798921988,0.977131581,0.7007,0.0156,0,6759.108,0.9,7194.4,0,-1,0.79,-0.201078012,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6000,7764.02,58.23,27,0.772795536,0.979896744,0.7198,0.0156,0,58230.15,7.5,7194.4,0,-1,0.77,-0.227204464,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6000,7590.92,72.11,27,0.790418026,0.979981419,0.7231,0.0156,0,8350.012,1.1,7194.4,0,-1,0.79,-0.209581974,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6000,7595.2,68.36,27,0.789972614,0.978821043,0.7131,0.0156,0,6835.68,0.9,7194.4,0,-1,0.78,-0.210027386,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6500,7588.15,140.38,27,0.856598776,0.973469394,0.682,0.0156,0,7588.15,1,7194.4,0,-1,0.85,-0.143401224,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6500,7669.1,130.37,27,0.84755708,0.974095768,0.6851,0.0156,0,766.91,0.1,7194.4,0,-1,0.84,-0.15244292,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6500,7755.26,124.08,27,0.838140823,0.975200447,0.6917,0.0156,0,11632.89,1.5,7194.4,0,-1,0.83,-0.161859177,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6500,7548.11,135.87,27,0.861142723,0.970451879,0.6627,0.0156,0,7548.11,1,7194.4,0,-1,0.86,-0.138857277,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6500,7473.05,153.2,27,0.86979212,0.971260112,0.6691,0.0156,0,7473.05,1,7194.4,0,-1,0.86,-0.13020788,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6500,7507.91,146.4,27,0.865753585,0.971162341,0.6679,0.0156,0,187697.75,25,7194.4,0,-1,0.86,-0.134246415,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6500,7531.23,143.09,27,0.863072831,0.97151383,0.6698,0.0156,0,7531.23,1,7194.4,0,-1,0.86,-0.136927169,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2019/11/30,-1,6500,7567.19,136.21,27,0.858971428,0.971079329,0.6664,0.0156,0,37835.95,5,7194.4,0,-1,0.85,-0.141028572,1,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6243.26,68.68,27,0.560604556,0.999969558,1.5145,3.00E-04,0,624.326,0.1,7477.6,0,-1,0.56,-0.439395444,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6173.56,71,27,0.566933827,0.999962486,1.4956,3.00E-04,0,123471.2,20,7477.6,0,-1,0.56,-0.433066173,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6161.8,67.78,27,0.56801584,0.999953769,1.476,3.00E-04,0,123236,20,7477.6,0,-1,0.56,-0.43198416,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6142.65,67.57,27,0.569786656,0.999956673,1.4823,3.00E-04,0,24570.6,4,7477.6,0,-1,0.56,-0.430213344,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6114.64,76.43,27,0.57239674,0.999966047,1.5054,3.00E-04,0,122292.8,20,7477.6,0,-1,0.57,-0.42760326,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6108.23,76.35,27,0.572997415,0.999965254,1.5033,3.00E-04,0,305411.5,50,7477.6,0,-1,0.57,-0.427002585,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6235.84,65.48,27,0.561271617,0.999961188,1.4919,3.00E-04,0,155896,25,7477.6,0,-1,0.56,-0.438728383,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6219.82,68.42,27,0.562717249,0.999970309,1.517,3.00E-04,0,3109.91,0.5,7477.6,0,-1,0.56,-0.437282751,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6220.06,68.42,27,0.562695537,0.999970309,1.517,3.00E-04,0,6220.06,1,7477.6,0,-1,0.56,-0.437304463,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6220.47,68.43,27,0.562658449,0.999970343,1.5171,3.00E-04,0,43543.29,7,7477.6,0,-1,0.56,-0.437341551,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6188.62,74.26,27,0.565554195,0.999971117,1.5198,3.00E-04,0,61886.2,10,7477.6,0,-1,0.56,-0.434445805,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6235.84,65.48,27,0.561271617,0.999961188,1.4919,3.00E-04,0,37415.04,6,7477.6,0,-1,0.56,-0.438728383,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6235.84,65.48,27,0.561271617,0.999961188,1.4919,3.00E-04,0,124716.8,20,7477.6,0,-1,0.56,-0.438728383,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6235.84,65.48,27,0.561271617,0.999961188,1.4919,3.00E-04,0,155896,25,7477.6,0,-1,0.56,-0.438728383,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6235.84,65.48,27,0.561271617,0.999961188,1.4919,3.00E-04,0,37415.04,6,7477.6,0,-1,0.56,-0.438728383,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
2020/3/28,-1,3500,6235.84,65.48,27,0.561271617,0.999961188,1.4919,3.00E-04,0,124716.8,20,7477.6,0,-1,0.56,-0.438728383,0,"(-0.5,-0.1]",27,-1,3.75E-04,-1.000374797
