Trade Date,Underlying,Product Type,Exchange,Volume
2017/7/3,SPX,I,CBOE,530011
2017/7/5,SPX,I,CBOE,867525
2017/7/6,SPX,I,CBOE,1105161
2017/7/7,SPX,I,CBOE,1153728
2017/7/10,SPX,I,CBOE,1046062
2017/7/11,SPX,I,CBOE,736996
2017/7/12,SPX,I,CBOE,975004
2017/7/13,SPX,I,CBOE,792929
2017/7/14,SPX,I,CBOE,1324885
2017/7/17,SPX,I,CBOE,990554
2017/7/18,SPX,I,CBOE,920135
2017/7/19,SPX,I,CBOE,1275117
2017/7/20,SPX,I,CBOE,1310263
2017/7/21,SPX,I,CBOE,1090294
2017/7/24,SPX,I,CBOE,736129
2017/7/25,SPX,I,CBOE,997131
2017/7/26,SPX,I,CBOE,1106593
2017/7/27,SPX,I,CBOE,1025239
2017/7/28,SPX,I,CBOE,994779
2017/7/31,SPX,I,CBOE,986529
2017/8/1,SPX,I,CBOE,895500
2017/8/2,SPX,I,CBOE,945971
2017/8/3,SPX,I,CBOE,754433
2017/8/4,SPX,I,CBOE,1256022
2017/8/7,SPX,I,CBOE,824329
2017/8/8,SPX,I,CBOE,1030654
2017/8/9,SPX,I,CBOE,1231103
2017/8/10,SPX,I,CBOE,1598737
2017/8/11,SPX,I,CBOE,1441024
2017/8/14,SPX,I,CBOE,1243633
2017/8/15,SPX,I,CBOE,1057691
2017/8/16,SPX,I,CBOE,1716327
2017/8/17,SPX,I,CBOE,1562816
2017/8/18,SPX,I,CBOE,1720851
2017/8/21,SPX,I,CBOE,1078617
2017/8/22,SPX,I,CBOE,1318364
2017/8/23,SPX,I,CBOE,1012290
2017/8/24,SPX,I,CBOE,785169
2017/8/25,SPX,I,CBOE,1036978
2017/8/28,SPX,I,CBOE,970761
2017/8/29,SPX,I,CBOE,917599
2017/8/30,SPX,I,CBOE,1060079
2017/8/31,SPX,I,CBOE,1378116
2017/9/1,SPX,I,CBOE,1112761
2017/9/5,SPX,I,CBOE,1448820
2017/9/6,SPX,I,CBOE,1069298
2017/9/7,SPX,I,CBOE,852653
2017/9/8,SPX,I,CBOE,1166213
2017/9/11,SPX,I,CBOE,1589291
2017/9/12,SPX,I,CBOE,1515587
2017/9/13,SPX,I,CBOE,1047016
2017/9/14,SPX,I,CBOE,1341007
2017/9/15,SPX,I,CBOE,1361298
2017/9/18,SPX,I,CBOE,1356502
2017/9/19,SPX,I,CBOE,966823
2017/9/20,SPX,I,CBOE,1395766
2017/9/21,SPX,I,CBOE,936352
2017/9/22,SPX,I,CBOE,903791
2017/9/25,SPX,I,CBOE,1167816
2017/9/26,SPX,I,CBOE,818687
2017/9/27,SPX,I,CBOE,1371646
2017/9/28,SPX,I,CBOE,991833
2017/9/29,SPX,I,CBOE,1386281
2017/10/2,SPX,I,CBOE,1620274
2017/10/3,SPX,I,CBOE,1104325
2017/10/4,SPX,I,CBOE,1594136
2017/10/5,SPX,I,CBOE,1736208
2017/10/6,SPX,I,CBOE,1313925
2017/10/9,SPX,I,CBOE,941101
2017/10/10,SPX,I,CBOE,1010621
2017/10/11,SPX,I,CBOE,895928
2017/10/12,SPX,I,CBOE,1150105
2017/10/13,SPX,I,CBOE,1034049
2017/10/16,SPX,I,CBOE,1241790
2017/10/17,SPX,I,CBOE,1008984
2017/10/18,SPX,I,CBOE,1267074
2017/10/19,SPX,I,CBOE,1175643
2017/10/20,SPX,I,CBOE,1753299
2017/10/23,SPX,I,CBOE,1361754
2017/10/24,SPX,I,CBOE,906540
2017/10/25,SPX,I,CBOE,1618655
2017/10/26,SPX,I,CBOE,822637
2017/10/27,SPX,I,CBOE,1535533
2017/10/30,SPX,I,CBOE,1173723
2017/10/31,SPX,I,CBOE,881139
2017/11/1,SPX,I,CBOE,1343475
2017/11/2,SPX,I,CBOE,976282
2017/11/3,SPX,I,CBOE,1485057
2017/11/6,SPX,I,CBOE,1212136
2017/11/7,SPX,I,CBOE,1379720
2017/11/8,SPX,I,CBOE,963873
2017/11/9,SPX,I,CBOE,1660671
2017/11/10,SPX,I,CBOE,1428531
2017/11/13,SPX,I,CBOE,1129313
2017/11/14,SPX,I,CBOE,1287259
2017/11/15,SPX,I,CBOE,1621325
2017/11/16,SPX,I,CBOE,1369948
2017/11/17,SPX,I,CBOE,1470838
2017/11/20,SPX,I,CBOE,1258149
2017/11/21,SPX,I,CBOE,1784127
2017/11/22,SPX,I,CBOE,1210794
2017/11/24,SPX,I,CBOE,744313
2017/11/27,SPX,I,CBOE,1377170
2017/11/28,SPX,I,CBOE,1688831
2017/11/29,SPX,I,CBOE,1627899
2017/11/30,SPX,I,CBOE,2253253
2017/12/1,SPX,I,CBOE,2043528
2017/12/4,SPX,I,CBOE,1536753
2017/12/5,SPX,I,CBOE,1104017
2017/12/6,SPX,I,CBOE,1187072
2017/12/7,SPX,I,CBOE,1082257
2017/12/8,SPX,I,CBOE,1446736
2017/12/11,SPX,I,CBOE,1168343
2017/12/12,SPX,I,CBOE,1537476
2017/12/13,SPX,I,CBOE,1320025
2017/12/14,SPX,I,CBOE,1601504
