Date,Strike,Premium,IV,Spot,tau,quantity,value,PC_type,DividendYield,moneyness,IR,delta
2017-07-01,2300,326.55,0.9815,2436.94,27,0.01,24.3694,1,0,0.94380657710079,0.0101,0.637926538688214
2017-07-01,2300,330.25,0.9233,2464.55,27,1,2464.55,1,0,0.933233247448824,0.0101,0.656784772284517
2017-07-01,2300,326.11,0.9867,2433.63,27,0.2,486.726,1,0,0.945090256119459,0.0101,0.635857542655611
2017-07-01,2300,328.64,0.9571,2452.53,27,0.5,1226.265,1,0,0.937807080851203,0.0101,0.647914441561526
2017-07-01,2300,328.57,0.9582,2452.01,27,0.5,1226.005,1,0,0.938005962455292,0.0101,0.647561540118414
2017-07-01,2300,326.91,0.9746,2439.64,27,1,2439.64,1,0,0.942762046859373,0.0101,0.639721630198234
2017-07-01,2300,325.63,1.0072,2430.06,27,0.07,170.1042,1,0,0.946478687769026,0.0101,0.633258779824567
2017-07-01,2300,325.68,1.0058,2430.44,27,0.24,583.3056,1,0,0.946330705551258,0.0101,0.633508918983574
2017-07-01,2300,327.82,0.9733,2446.44,27,0.5,1223.22,1,0,0.940141593499125,0.0101,0.643695163194162
2017-07-01,2300,328.61,0.9575,2452.35,27,0.5,1226.175,1,0,0.937875914938732,0.0101,0.647791311916442
2017-07-01,2300,329.54,0.9432,2459.26,27,0.41,1008.2966,1,0,0.935240682156421,0.0101,0.652532047875979
2017-07-01,2300,329.39,0.9455,2458.13,27,0.07,172.0691,1,0,0.935670611399723,0.0101,0.651749896030266
2017-07-01,2300,328.81,0.955,2453.83,27,0.5,1226.915,1,0,0.937310245616037,0.0101,0.648769067047645
2017-07-01,2300,328.71,0.9559,2453.09,27,0.26,637.8034,1,0,0.93759299495738,0.0101,0.648296046756304
2017-07-01,2300,328.99,0.9522,2455.15,27,0.5,1227.575,1,0,0.936806305113741,0.0101,0.649672537501097
2017-07-01,2300,329,0.9521,2455.21,27,0.01,24.5521,1,0,0.936783411602266,0.0101,0.649712387341179
2017-07-01,2300,330.1,0.9345,2463.43,27,0.02,49.2686,1,0,0.93365754253216,0.0101,0.655460422097753
2017-07-01,2300,330.01,0.9359,2462.74,27,0.04,98.5096,1,0,0.933919130724315,0.0101,0.654974727099612
2017-07-01,2300,329.57,0.9426,2459.51,27,0.01,24.5951,1,0,0.935145618436192,0.0101,0.652710419623497
2017-07-01,2300,328.32,0.9644,2450.15,27,0.4,980.06,1,0,0.938718037671163,0.0101,0.646206308872942
2017-07-01,2300,329.44,0.9468,2458.53,27,0.02,49.1706,1,0,0.935518378868674,0.0101,0.65191612344087
2017-07-01,2300,329.95,0.9368,2462.3,27,0.02,49.246,1,0,0.934086017138448,0.0101,0.654665275670009
2017-07-01,2300,329.6,0.9422,2459.73,27,0.14,344.3622,1,0,0.935061978347217,0.0101,0.652860701479028
2017-07-01,2300,329.4,0.9454,2458.18,27,0.02,49.1636,1,0,0.93565157962395,0.0101,0.651784340158978
2017-07-01,2300,329.79,0.9393,2461.1,27,0.05,123.055,1,0,0.934541465198488,0.0101,0.653821511992063
2017-07-01,2400,266.63,1.0336,2402.07,27,0.36,864.7452,1,0,0.999138243265184,0.0101,0.558151106475963
2017-07-01,2400,266.81,1.0307,2403.68,27,0.5,1201.84,1,0,0.99846901417826,0.0101,0.558945077979815
2017-07-01,2400,266.82,1.0305,2403.79,27,0.5,1201.895,1,0,0.998423323168829,0.0101,0.558999393771253
2017-07-01,2400,266.82,1.0305,2403.82,27,0.5,1201.91,1,0,0.998410862710186,0.0101,0.559016963414873
2017-07-01,2400,266.53,1.0351,2401.16,27,0.5,1200.58,1,0,0.99951690016492,0.0101,0.557697074790985
2017-07-01,2400,265.82,1.0461,2394.75,27,1,2394.75,1,0,1.00219229564673,0.0101,0.55455878023326
2017-07-01,2400,269.21,0.9924,2425.3,27,1,2425.3,1,0,0.989568300828763,0.0101,0.570079097888307
2017-07-01,2400,266.45,1.0362,2400.47,27,0.02,48.0094,1,0,0.999804205009852,0.0101,0.55735169775774
2017-07-01,2400,266.23,1.0397,2398.45,27,1,2398.45,1,0,1.00064625070358,0.0101,0.556359588960512
2017-07-01,2400,271.54,0.9544,2446.35,27,0.2,489.27,1,0,0.981053406094794,0.0101,0.581744079481428
2017-07-01,2400,270.05,0.9788,2432.9,27,0.02,48.658,1,0,0.986477043857125,0.0101,0.574192073508083
2017-07-01,2400,267.09,1.0261,2406.21,27,0.1,240.621,1,0,0.997419177877243,0.0101,0.560199722758426
2017-07-01,2400,266.93,1.0286,2404.78,27,0.02,48.0956,1,0,0.998012292184732,0.0101,0.559484201350523
2017-07-01,2400,274.83,0.8942,2475.98,27,0.1,247.598,1,0,0.969313160849441,0.0101,0.599799400722203
2017-07-01,2400,276.83,0.86,2493.98,27,0.1,249.398,1,0,0.962317259961988,0.0101,0.611934243860885
2017-07-01,2400,273.57,0.9073,2464.55,27,1,2464.55,1,0,0.973808606033556,0.0101,0.59249353261674
2017-07-01,2400,276.9,0.858,2494.62,27,0.08,199.5696,1,0,0.962070375447964,0.0101,0.612400741723435
2017-07-01,2500,218.51,1.0103,2401.16,27,0.5,1200.58,1,0,1.04116343767179,0.0101,0.497329309553562
2017-07-01,2500,218.71,1.0069,2403.4,27,0.5,1201.7,1,0,1.0401930598319,0.0101,0.498309093387012
2017-07-01,2500,218.64,1.0082,2402.59,27,0.5,1201.295,1,0,1.04054374654019,0.0101,0.497961830821842
2017-07-01,2500,218.02,1.0189,2395.77,27,0.5,1197.885,1,0,1.04350584571975,0.0101,0.495045973605091
2017-07-01,2500,218.23,1.0151,2398.17,27,0.5,1199.085,1,0,1.04246154359366,0.0101,0.49606109768772
2017-07-01,2500,218.32,1.0136,2399.16,27,0.5,1199.58,1,0,1.04203137764884,0.0101,0.49648964748366
2017-07-01,2500,231.63,0.9229,2469.35,27,0.04,98.774,1,0,1.01241217324397,0.0101,0.531617532544596
2017-07-01,2500,231.63,0.9229,2469.35,27,0.02,49.387,1,0,1.01241217324397,0.0101,0.531617532544596
2017-07-01,2500,218.43,1.0117,2400.38,27,0.09,216.0342,1,0,1.04150176222098,0.0101,0.497013763760185
2017-07-01,2500,218.41,1.0121,2400.1,27,0.09,216.009,1,0,1.04162326569726,0.0101,0.496889275291427
2017-07-01,2500,218.43,1.0118,2400.3,27,0.09,216.027,1,0,1.04153647460734,0.0101,0.496976593127311
2017-07-01,2500,218.52,1.0103,2401.27,27,0.18,432.2286,1,0,1.04111574291937,0.0101,0.497395817939646
2017-07-01,2500,218.55,1.0096,2401.67,27,0.5,1200.835,1,0,1.04094234428543,0.0101,0.497560025912162
2017-07-01,2500,218.59,1.0089,2402.11,27,0.42,1008.8862,1,0,1.04075167248794,0.0101,0.49774868427588
2017-07-01,2500,218.61,1.0086,2402.29,27,0.46,1105.0534,1,0,1.0406736905203,0.0101,0.497824430468919
2017-07-01,2500,227.05,0.8527,2495.1,27,0.1,249.51,1,0,1.00196384914432,0.0101,0.544080876802172
2017-07-01,2500,224.27,0.8951,2464.55,27,1,2464.55,1,0,1.01438396461829,0.0101,0.526362760987801
2017-07-01,2500,218.01,1.0189,2395.75,27,0.5,1197.875,1,0,1.04351455702807,0.0101,0.495033956602032
