test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,Volume_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,Value_th,Option_type,num_ops,R_t,M_group,steps_ahead,RF_t,ER_t
2019-11-30,1,11000,7596.8,26.59,27,1.44797809604044,0.976016046930776,0.7562,0.0156,0,37984,5,7194.4,0,-1,1.44,0.44797809604044,1,-26.59,Call,2,-1,"(0.15,0.6]",27,0.0011546386853127366,-1.0011546386853127
2019-11-30,1,11000,7596.8,26.59,27,1.44797809604044,0.976016046930776,0.7562,0.0156,0,84324.48,11.1,7194.4,0,-1,1.44,0.44797809604044,1,-26.59,Call,2,-1,"(0.15,0.6]",27,0.0011546386853127366,-1.0011546386853127
2019-11-30,1,12000,7674.62,15.35,27,1.56359533110434,0.980964126417361,0.8007,0.0156,0,767.462,0.1,7194.4,0,-1,1.56,0.56359533110434,1,-15.35,Call,2,-1,"(0.15,0.6]",27,0.0011546386853127366,-1.0011546386853127
2019-11-30,1,12000,7743.39,27.1,27,1.5497088484501,0.986813732732263,0.8562,0.0156,0,7743.39,1,7194.4,0,-1,1.54,0.5497088484501,1,-27.1,Call,2,-1,"(0.15,0.6]",27,0.0011546386853127366,-1.0011546386853127
2019-11-30,1,15000,7505.4,7.51,27,1.99856103605404,0.996409371178473,1.0538,0.0156,0,2251.62,0.3,7194.4,0,-1,1.99,0.99856103605404,1,-7.51,Call,2,-1,"(0.6,1]",27,0.0011546386853127366,-1.0011546386853127
2019-11-30,1,15000,7747.61,11.62,27,1.9360809333459,0.996403616377314,1.0514,0.0156,0,1549.522,0.2,7194.4,0,-1,1.93,0.9360809333459,1,-11.62,Call,2,-1,"(0.6,1]",27,0.0011546386853127366,-1.0011546386853127
2020-05-30,1,16000,9722.56,53.47,27,1.64565711088438,0.995435235722414,1.0364,0.0014,0,9722.56,1,9240.85,0,-1,1.64,0.64565711088438,1,-53.47,Call,2,-1,"(0.6,1]",27,1.035670065276939e-4,-1.0001035670065277
2020-05-30,1,16000,9722.56,53.47,27,1.64565711088438,0.995435235722414,1.0364,0.0014,0,9722.56,1,9240.85,0,-1,1.64,0.64565711088438,1,-53.47,Call,2,-1,"(0.6,1]",27,1.035670065276939e-4,-1.0001035670065277
2020-05-30,1,20000,9721.56,24.3,27,2.05728298750406,0.998972730163563,1.2276,0.0014,0,9721.56,1,9240.85,0,-1,2.05,1.05728298750406,1,-24.3,Call,2,-1,"(0.6,1]",27,1.035670065276939e-4,-1.0001035670065277
2020-05-30,1,20000,9721.56,24.3,27,2.05728298750406,0.998972730163563,1.2276,0.0014,0,9721.56,1,9240.85,0,-1,2.05,1.05728298750406,1,-24.3,Call,2,-1,"(0.6,1]",27,1.035670065276939e-4,-1.0001035670065277
2020-07-04,1,15000,9067.94,9.07,27,1.65417944979786,0.974496044769994,0.7945,0.0014,0,4533.97,0.5,11114.93,0,-1,1.65,0.6541794497978599,1,-9.07,Call,2,-1,"(0.6,1]",27,1.035670065276939e-4,-1.0001035670065277
