Date,Strike,Premium,IV,Spot,tau,quantity,value,PC_type,DividendYield,moneyness,IR,delta
2017/7/1,2300,326.55,0.9815,2436.94,27,0.01,24.3694,1,0,0.943806577,0.0101,0.995536303
2017/7/1,2300,330.25,0.9233,2464.55,27,1,2464.55,1,0,0.933233247,0.0101,0.993245247
2017/7/1,2300,326.11,0.9867,2433.63,27,0.2,486.726,1,0,0.945090256,0.0101,0.995702107
2017/7/1,2300,328.64,0.9571,2452.53,27,0.5,1226.265,1,0,0.937807081,0.0101,0.994680894
2017/7/1,2300,328.57,0.9582,2452.01,27,0.5,1226.005,1,0,0.938005962,0.0101,0.994722573
2017/7/1,2300,326.91,0.9746,2439.64,27,1,2439.64,1,0,0.942762047,0.0101,0.99530574
2017/7/1,2300,325.63,1.0072,2430.06,27,0.07,170.1042,1,0,0.946478688,0.0101,0.996312275
2017/7/1,2300,325.68,1.0058,2430.44,27,0.24,583.3056,1,0,0.946330706,0.0101,0.996273317
2017/7/1,2300,327.82,0.9733,2446.44,27,0.5,1223.22,1,0,0.940141593,0.0101,0.995268158
2017/7/1,2300,328.61,0.9575,2452.35,27,0.5,1226.175,1,0,0.937875915,0.0101,0.994696095
2017/7/1,2300,329.54,0.9432,2459.26,27,0.41,1008.2966,1,0,0.935240682,0.0101,0.994129053
2017/7/1,2300,329.39,0.9455,2458.13,27,0.07,172.0691,1,0,0.935670611,0.0101,0.99422366
2017/7/1,2300,328.81,0.955,2453.83,27,0.5,1226.915,1,0,0.937310246,0.0101,0.994600915
2017/7/1,2300,328.71,0.9559,2453.09,27,0.26,637.8034,1,0,0.937592995,0.0101,0.994635088
2017/7/1,2300,328.99,0.9522,2455.15,27,0.5,1227.575,1,0,0.936806305,0.0101,0.994492103
2017/7/1,2300,329,0.9521,2455.21,27,0.01,24.5521,1,0,0.936783412,0.0101,0.994488198
2017/7/1,2300,330.1,0.9345,2463.43,27,0.02,49.2686,1,0,0.933657543,0.0101,0.993758688
2017/7/1,2300,330.01,0.9359,2462.74,27,0.04,98.5096,1,0,0.933919131,0.0101,0.993819601
2017/7/1,2300,329.57,0.9426,2459.51,27,0.01,24.5951,1,0,0.935145618,0.0101,0.99410409
2017/7/1,2300,328.32,0.9644,2450.15,27,0.4,980.06,1,0,0.938718038,0.0101,0.994953445
2017/7/1,2300,329.44,0.9468,2458.53,27,0.02,49.1706,1,0,0.935518379,0.0101,0.994277942
2017/7/1,2300,329.95,0.9368,2462.3,27,0.02,49.246,1,0,0.934086017,0.0101,0.99385849
2017/7/1,2300,329.6,0.9422,2459.73,27,0.14,344.3622,1,0,0.935061978,0.0101,0.99408747
2017/7/1,2300,329.4,0.9454,2458.18,27,0.02,49.1636,1,0,0.93565158,0.0101,0.994219576
2017/7/1,2300,329.79,0.9393,2461.1,27,0.05,123.055,1,0,0.934541465,0.0101,0.993965429
2017/7/1,2400,266.63,1.0336,2402.07,27,0.36,864.7452,1,0,0.999138243,0.0101,0.99689335
2017/7/1,2400,266.81,1.0307,2403.68,27,0.5,1201.84,1,0,0.998469014,0.0101,0.996824062
2017/7/1,2400,266.82,1.0305,2403.79,27,0.5,1201.895,1,0,0.998423323,0.0101,0.996819232
2017/7/1,2400,266.82,1.0305,2403.82,27,0.5,1201.91,1,0,0.998410863,0.0101,0.996819254
2017/7/1,2400,266.53,1.0351,2401.16,27,0.5,1200.58,1,0,0.9995169,0.0101,0.996928602
2017/7/1,2400,265.82,1.0461,2394.75,27,1,2394.75,1,0,1.002192296,0.0101,0.997176577
2017/7/1,2400,269.21,0.9924,2425.3,27,1,2425.3,1,0,0.989568301,0.0101,0.995771365
2017/7/1,2400,266.45,1.0362,2400.47,27,0.02,48.0094,1,0,0.999804205,0.0101,0.99695421
2017/7/1,2400,266.23,1.0397,2398.45,27,1,2398.45,1,0,1.000646251,0.0101,0.99703455
2017/7/1,2400,271.54,0.9544,2446.35,27,0.2,489.27,1,0,0.981053406,0.0101,0.99443276
2017/7/1,2400,270.05,0.9788,2432.9,27,0.02,48.658,1,0,0.986477044,0.0101,0.995329184
2017/7/1,2400,267.09,1.0261,2406.21,27,0.1,240.621,1,0,0.997419178,0.0101,0.99671131
2017/7/1,2400,266.93,1.0286,2404.78,27,0.02,48.0956,1,0,0.998012292,0.0101,0.996772981
2017/7/1,2400,274.83,0.8942,2475.98,27,0.1,247.598,1,0,0.969313161,0.0101,0.991543607
2017/7/1,2400,276.83,0.86,2493.98,27,0.1,249.398,1,0,0.96231726,0.0101,0.989387716
2017/7/1,2400,273.57,0.9073,2464.55,27,1,2464.55,1,0,0.973808606,0.0101,0.992254829
2017/7/1,2400,276.9,0.858,2494.62,27,0.08,199.5696,1,0,0.962070375,0.0101,0.98924723
2017/7/1,2500,218.51,1.0103,2401.16,27,0.5,1200.58,1,0,1.041163438,0.0101,0.996197242
2017/7/1,2500,218.71,1.0069,2403.4,27,0.5,1201.7,1,0,1.04019306,0.0101,0.996099837
2017/7/1,2500,218.64,1.0082,2402.59,27,0.5,1201.295,1,0,1.040543747,0.0101,0.996137381
2017/7/1,2500,218.02,1.0189,2395.77,27,0.5,1197.885,1,0,1.043505846,0.0101,0.996434286
2017/7/1,2500,218.23,1.0151,2398.17,27,0.5,1199.085,1,0,1.042461544,0.0101,0.99633123
2017/7/1,2500,218.32,1.0136,2399.16,27,0.5,1199.58,1,0,1.042031378,0.0101,0.996289865
2017/7/1,2500,231.63,0.9229,2469.35,27,0.04,98.774,1,0,1.012412173,0.0101,0.992897905
2017/7/1,2500,231.63,0.9229,2469.35,27,0.02,49.387,1,0,1.012412173,0.0101,0.992897905
2017/7/1,2500,218.43,1.0117,2400.38,27,0.09,216.0342,1,0,1.041501762,0.0101,0.996236845
2017/7/1,2500,218.41,1.0121,2400.1,27,0.09,216.009,1,0,1.041623266,0.0101,0.996248043
2017/7/1,2500,218.43,1.0118,2400.3,27,0.09,216.027,1,0,1.041536475,0.0101,0.996239639
2017/7/1,2500,218.52,1.0103,2401.27,27,0.18,432.2286,1,0,1.041115743,0.0101,0.996197341
2017/7/1,2500,218.55,1.0096,2401.67,27,0.5,1200.835,1,0,1.040942344,0.0101,0.99617741
2017/7/1,2500,218.59,1.0089,2402.11,27,0.42,1008.8862,1,0,1.040751672,0.0101,0.996157424
2017/7/1,2500,218.61,1.0086,2402.29,27,0.46,1105.0534,1,0,1.040673691,0.0101,0.996148822
2017/7/1,2500,227.05,0.8527,2495.1,27,0.1,249.51,1,0,1.001963849,0.0101,0.988591466
2017/7/1,2500,224.27,0.8951,2464.55,27,1,2464.55,1,0,1.014383965,0.0101,0.991369465
2017/7/1,2500,218.01,1.0189,2395.75,27,0.5,1197.875,1,0,1.043514557,0.0101,0.996434269
2017/7/1,2600,182.38,0.8869,2464.55,27,1,2464.55,1,0,1.054959323,0.0101,0.990658539
2017/7/1,2600,181,0.9257,2445.91,27,0.15,366.8865,1,0,1.062999047,0.0101,0.99283795
2017/7/1,2600,180.53,0.9227,2439.64,27,1,2439.64,1,0,1.065731009,0.0101,0.992673524
2017/7/1,2600,184.63,0.8503,2494.96,27,0.1,249.496,1,0,1.042100875,0.0101,0.988136811
2017/7/1,2600,177.69,0.9917,2401.16,27,0.31,744.3596,1,0,1.082809975,0.0101,0.995525459
2017/7/1,2600,182.14,0.8909,2461.29,27,0.1,246.129,1,0,1.056356626,0.0101,0.990904095
2017/7/1,2700,148.84,0.7978,2522.65,27,0.1,252.265,1,0,1.070303054,0.0101,0.983086932
2017/7/1,2700,145.41,0.8744,2464.55,27,1,2464.55,1,0,1.095534682,0.0101,0.989602766
2017/7/1,2700,147.18,0.8452,2494.5,27,0.1,249.45,1,0,1.082381239,0.0101,0.9874533
2017/7/1,2800,115.83,0.8688,2464.55,27,1,2464.55,1,0,1.13611004,0.0101,0.988970425
2017/7/1,2800,118.67,0.7969,2524.82,27,0.1,252.482,1,0,1.108989948,0.0101,0.982625901
2017/7/1,2800,114.66,0.8981,2439.64,27,1,2439.64,1,0,1.147710318,0.0101,0.990917709
2017/7/1,2800,118.17,0.9281,2436.42,27,0.05,121.821,1,0,1.149227145,0.0101,0.992635606
2017/7/1,2800,117.29,0.8421,2495.48,27,0.1,249.548,1,0,1.122028628,0.0101,0.98692068
2017/7/1,2800,128.85,0.9058,2477.81,27,0.05,123.8905,1,0,1.130030148,0.0101,0.991467491
2017/7/1,2800,115.68,0.872,2461.24,27,0.14,344.5736,1,0,1.137637939,0.0101,0.989197662
2017/7/1,2900,91.24,0.8694,2466.05,27,0.05,123.3025,1,0,1.175969668,0.0101,0.988792217
2017/7/1,3100,32.34,0.7601,2431.21,27,0.02,48.6242,1,0,1.275085246,0.0101,0.976277956
